issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Fufeng Group Ltd,2007/1/31,2005/1/7,KYG368441013,546,2899,Fufeng Group Ltd,0,fufeng,0,Fufeng Group,Fufeng Group,FUFENG GROUP,K:FUFE,2007/2/8,41688L,HK546,KYG368441195
China Huiyuan Juice Group Ltd,2007/2/14,2007/2/5,KYG211231074,1886,2037,China Huiyuan Juice Group Ltd,0,chinahuiyuanjui,0,China Huiyuan Juice Group,China Huiyuan Juice Group,CHINA HUIYUAN JUICE GP.,K:CHUI,2007/2/23,50079J,HK1886,KYG211231074
Ajisen(China)Holdings Ltd,2007/3/23,2007/3/12,KYG0192S1093,538,5812,Ajisen(China)Holdings Ltd,0,ajisen,0,Ajisen (China) Holdings,Ajisen (China) Holdings,AJISEN(CHINA)HOLDINGS,K:AJIS,2007/3/30,50313X,HK538,KYG0192S1093
Capxon Intl Electronic Co Ltd,2007/5/4,2007/4/24,KYG1892A1094,469,3674,Capxon Intl Electronic Co Ltd,0,capxonelectroni,0,Capxon International Electronic,Capxon International Electronic,CAPXON INTL.ELECTRONIC,K:CAPX,2007/5/7,50448X,HK469,KYG1892A1094
Pacific Textiles Holdings Ltd,2007/5/11,2007/5/2,KYG686121032,1382,2257,Pacific Textiles Holdings Ltd,0,pacifictextiles,0,Pacific Textiles Holdings,Pacific Textiles Holdings,PACIFIC TEXTILES HDG.,K:PTHL,2007/5/18,50513H,HK1382,KYG686121032
Jiahua Stores Holdings Ltd,2007/5/18,2007/5/8,KYG7395Y1061,602,5411,Jiahua Stores Holdings Ltd,0,jiahuastores,0,Jiahua Stores Holdings,Jiahua Stores Holdings,JIAHUA STORES HOLDINGS,K:JSHH,2007/5/21,50517D,HK602,KYG7395Y1061
Walker Group Holdings Ltd,2007/6/1,2007/5/21,KYG261411048,1386,5661,Walker Group Holdings Ltd,0,walker,0,Slater Walker Hong Kong,Slater Walker Hong Kong,SLATER WALKER HONG KONG,929096,1973/1/1,929096,NA,NA
Tianneng Power Intl Ltd,2007/6/8,2007/5/8,KYG8655K1094,819,3691,Tianneng Power Intl Ltd,0,tiannengpower,0,Tianneng Power International,Tianneng Power International,TIANNENG POWER INTL.,K:TPIL,2007/6/11,50610L,HK819,KYG8655K1094
Sunny Optical Tech(Grp)Co Ltd,2007/6/9,2007/5/28,KYG8586D1097,2382,3861,Sunny Optical Tech(Grp)Co Ltd,0,sunnyoptical,0,Sunny Optical Technology (Group),Sunny Optical Technology (Group),SUNNY OPTICAL TECH.(GP.),K:SOPT,2007/6/15,50631X,HK2382,KYG8586D1097
Ka Shui Intl Holdings Ltd,2007/6/12,2007/6/12,KYG5217R1011,822,3356,Ka Shui Intl Holdings Ltd,0,kashui,0,Ka Shui International Holdings,Ka Shui International Holdings,KA SHUI INTL.HOLDINGS,K:KSHU,2007/6/27,50662X,HK822,KYG5217R1011
China COSCO Holdings Co Ltd,2007/6/20,2007/6/8,CNE100000601,1919,4412,China COSCO Holdings Co Ltd,0,chinacosco,0,China Cosco Holdings Company,China Cosco Holdings Company,CHINA COSCO HOLDINGS CO.,32497T,2005/12/6,32497T,NA,NA
China High Speed Transmission,2007/6/25,2007/6/14,KYG2112D1051,658,3568,China High Speed Transmission,0,chinahighspeedt,0,China High Speed Transmission Equipment Group,China High Speed Transmission Equipment Group,CHINA HISPD.TNSM.EQU.GP.,K:CHSP,2007/7/4,50693J,HK658,KYG2112D1051
Centron Telecom International,2007/6/26,2007/6/21,KYG202011022,1155,4813,Centron Telecom International,0,centrontelecom,0,Centron Telecom International Holding,Centron Telecom International Holding,CENTRON TELC.INTL.HLDG.,K:CTRT,2007/7/5,50699R,HK1155,KYG202011022
China Medical Systems Hldg Ltd,2007/6/26,2007/6/6,KYG211081081,867,2834,China Medical Systems Hldg Ltd,0,chinamedical,0,China Medical and Healthcare Group,China Medical and Healthcare Group,CHINA MED.& HLTHCR.GP.,K:PAGI,1991/8/1,314156,HK383,BMG2133H1016
Stella International Hldgs Ltd,2007/6/28,2007/6/18,KYG846981028,1836,3143,Stella International Hldgs Ltd,0,stella,0,Stella International Holdings,Stella International Holdings,STELLA INTL.HOLDINGS,K:STLI,2007/7/6,50707F,HK1836,KYG846981028
Tao Heung Holdings Ltd,2007/6/28,2007/5/31,KYG8672Y1089,573,5812,Tao Heung Holdings Ltd,0,taoheung,0,Tao Heung Holdings,Tao Heung Holdings,TAO HEUNG HOLDINGS,K:TAOH,2007/6/29,50676J,HK573,KYG8672Y1089
Delta Networks Inc,2007/6/29,2007/3/3,KYG271481080,722,3669,Delta Networks Inc,0,deltanetworks,0,Delta Networks,Delta Networks,DELTA NETWORKS,K:DELT,2007/7/6,50707H,NA,KYG271481080
ANTA Sports Products Ltd,2007/6/30,2007/4/21,KYG040111059,2020,2253,ANTA Sports Products Ltd,0,antasportsprodu,0,Anta Sports Products,Anta Sports Products,ANTA SPORTS PRODUCTS,K:ANIT,2007/7/10,50722E,HK2020,KYG040111059
Times Ltd,2007/7/6,2007/5/16,KYG887821000,1832,5411,Times Ltd,0,times,0,Times Property Holdings,Times Property Holdings,TIMES PROPERTY HOLDINGS,K:TPHS,2013/12/11,93670C,HK1233,KYG8904A1004
Regent Manner Intl Hldgs Ltd,2007/7/9,2007/6/25,KYG7481P1000,1997,3674,Regent Manner Intl Hldgs Ltd,0,regentmanner,0,Regent Manner International Holdings,Regent Manner International Holdings,REGENT MANNER INTL.HDG.,K:REGM,2007/7/10,50721J,NA,KYG7481P1182
China Automation Group Ltd,2007/7/11,2007/6/28,KYG2112N1034,569,7382,China Automation Group Ltd,0,chinaautomation,0,China Automation Group,China Automation Group,CHINA AUTOMATION GROUP,K:CAUG,2007/7/12,50759Q,HK569,KYG2112N1117
Tiangong International Co Ltd,2007/7/20,2007/7/6,KYG888311050,826,3317,Tiangong International Co Ltd,0,tiangong,0,Tiangong International,Tiangong International,TIANGONG INTERNATIONAL,K:TIIC,2007/7/26,50820R,HK826,KYG888311134
Global Sweeteners Holdings Ltd,2007/9/14,2007/5/9,KYG3932Q1029,3889,2087,Global Sweeteners Holdings Ltd,0,globalsweetener,0,Global Sweeteners Holdings,Global Sweeteners Holdings,GLOBAL SWEETENERS HDG.,K:GSWE,2007/9/20,50947V,HK3889,KYG3932Q1029
Hidili Industry International,2007/9/14,2007/6/4,KYG444031069,1393,1221,Hidili Industry International,0,hidiliindustry,0,Hidili Industry International Development,Hidili Industry International Development,HIDILI IND.INTL.DEV.,K:HIDI,2007/9/21,510587,HK1393,KYG444031069
Qunxing Paper Holdings Co Ltd,2007/9/20,2007/8/27,KYG7329J1004,3868,2621,Qunxing Paper Holdings Co Ltd,0,qunxingpaper,0,Qunxing Paper Holdings,Qunxing Paper Holdings,QUNXING PAPER HOLDINGS,K:QNXG,2007/10/2,51077X,HK3868,KYG7329J1004
China Starch Holdings Ltd,2007/9/25,2007/9/11,KYG2161A1013,3838,2046,China Starch Holdings Ltd,0,chinastarch,0,China Starch Holdings,China Starch Holdings,CHINA STARCH HOLDINGS,K:CSTC,2007/9/27,51066L,HK3838,KYG2161A1195
Dachan Food(Asia)Ltd,2007/9/25,2007/9/14,KYG261441086,3999,2011,Dachan Food(Asia)Ltd,0,dachanfoodasia,0,Dachan Food (Asia),Dachan Food (Asia),DACHAN FOOD (ASIA),K:DCHN,2007/10/4,51092Q,HK3999,KYG261441086
